Label	logFC	FDR
 IGF2AS 	-0.0548248	1.16E-02
 IGF2BP1 	0.1097087	3.63E-01
 IGF2BP2 	0.7539054	4.43E-04
 IGF2BP3 	0.6225013	1.41E-08
 IGF2R 	0.384617	2.67E-05
 IGFALS 	-0.4113647	1.75E-06
 IGFBP1 	0.0116032	8.25E-01
 IGFBP2 	-1.1120497	3.65E-04
 IGFBP3 	1.047472	5.02E-06
 IGFBP4 	0.7620281	6.27E-06
 IGFBP5 	-0.5902921	4.01E-02
 IGFBP6 	0.3635326	6.77E-03
 IGFBP7 	1.5459873	8.58E-10
 IGFL1 	-0.009185	7.60E-01
 IGFL2 	0.0804735	9.94E-02
 IGFL3 	-0.0030188	8.71E-01
 IGFL4 	0.016718	5.27E-01
 IGFN1 	-0.0307472	2.30E-02
 IGHMBP2 	-0.0657763	4.88E-01
 IGHV5-78 	-0.1732475	3.40E-03
 IGHV7-81 	-0.0156432	1.12E-01
 IGJ 	-3.3851238	1.78E-08
 IGK@ 	-1.4766183	4.46E-05
 IGLL1 	-0.0039228	9.30E-01
 IGLL5 	-0.4314981	1.08E-04
 IGLV6-57 	-0.8739553	3.12E-03
 IGSF1 	-0.0009742	9.32E-01
 IGSF10 	0.0042647	6.70E-01
 IGSF11 	-0.0218652	7.13E-02
 IGSF21 	-0.0140141	5.80E-01
 IGSF22 	-0.0212566	5.44E-03
 IGSF3 	-0.1078266	8.22E-02
 IGSF6 	0.3999833	1.56E-05
 IGSF8 	0.128149	4.74E-02
 IGSF9 	-0.0230352	8.35E-01
 IGSF9B 	0.0122978	6.76E-01
 IHH 	0.1979038	1.74E-01
 IK 	0.4187263	1.16E-03
 IKBIP 	0.0600717	1.48E-03
 IKBKAP 	0.2316976	3.18E-06
 IKBKB 	0.3911267	2.39E-04
 IKBKE 	0.1392968	1.82E-04
 IKBKG 	0.0154332	5.11E-01
 IKZF1 	-0.0671617	4.52E-01
 IKZF2 	-0.0068186	7.89E-01
 IKZF3 	-0.010627	9.24E-01
 IKZF4 	0.0047812	7.28E-01
 IKZF5 	-0.0017113	9.84E-01
 IL10 	0.0145357	2.35E-01
 IL10RA 	0.0192248	9.08E-01
 IL10RB 	0.3044359	8.47E-03
 IL11 	-0.0645091	1.05E-01
 IL11RA 	-0.1788629	6.06E-05
 IL12A 	0.0297472	7.70E-02
 IL12B 	-0.0233167	1.25E-01
 IL12RB1 	-0.0139519	6.76E-01
 IL12RB2 	0.0012357	9.33E-01
 IL13 	-0.0127483	4.15E-01
 IL13RA1 	0.7081353	1.38E-06
 IL13RA2 	0.0009676	9.08E-01
 IL15 	0.0236268	2.85E-01
 IL15RA 	0.1676712	9.08E-03
 IL16 	-0.0344549	3.76E-01
 IL17A 	-0.0479652	1.53E-02
 IL17B 	-0.0213497	4.12E-01
 IL17C 	-0.1306036	6.90E-05
 IL17D 	-0.0132141	7.76E-01
 IL17F 	-0.0286608	9.53E-02
 IL17RA 	0.1136673	3.76E-02
 IL17RB 	0.6067078	2.18E-05
 IL17RC 	-0.0947752	9.56E-03
 IL17RD 	0.057265	3.65E-03
 IL17RE 	-0.0260648	7.36E-01
 IL17REL 	-0.1218667	3.13E-04
 IL18 	0.6487695	8.71E-06
 IL18BP 	0.104336	1.86E-03
 IL18R1 	0.009277	6.95E-01
 IL18RAP 	-0.0327656	4.89E-01
 IL19 	-0.0310752	7.75E-02
 IL1A 	0.0373842	1.30E-01
 IL1B 	-0.3144863	5.13E-02
 IL1F10 	-0.0398683	2.95E-03
 IL1F5 	-0.0270497	4.84E-02
 IL1F6 	-0.0322354	1.14E-01
 IL1F7 	-0.0058415	5.37E-01
 IL1F8 	-0.0056296	4.49E-01
 IL1F9 	0.0062204	7.12E-01
 IL1R1 	0.0558751	6.92E-01
 IL1R2 	-0.3581884	1.02E-01
 IL1RAP 	0.3673228	6.16E-04
 IL1RAPL1 	-0.0145397	1.90E-02
 IL1RAPL2 	-0.0044838	6.18E-01
 IL1RL1 	-0.0554948	3.89E-01
 IL1RL2 	0.0566689	1.30E-01
 IL1RN 	0.2125802	1.97E-01
 IL2 	-0.0012942	8.71E-01
 IL20 	-0.034592	2.88E-03
 IL20RA 	0.1785686	2.21E-02
 IL20RB 	0.0445067	3.03E-02
 IL21 	-0.0019485	8.82E-01
 IL21R 	0.008881	7.41E-01
 IL22 	0.0028431	7.14E-01
 IL22RA1 	0.5234534	1.21E-04
 IL22RA2 	-0.0069784	3.00E-01
 IL23A 	0.0570544	1.80E-01
 IL23R 	0.0044002	6.40E-01
 IL24 	0.0175397	1.86E-01
 IL25 	-0.0189576	1.40E-01
 IL26 	-0.0036347	5.71E-01
 IL27RA 	0.0627305	1.21E-01
 IL28A 	0.0461259	1.45E-01
 IL28RA 	0.0372752	4.12E-01
 IL29 	-0.0293607	2.53E-02
 IL2RA 	0.3481328	9.03E-04
 IL2RB 	0.016669	7.86E-01
 IL2RG 	0.6702083	1.59E-02
 IL3 	-0.0057853	5.91E-01
 IL31 	-0.0201921	4.35E-02
 IL31RA 	-0.0097176	1.63E-01
 IL32 	1.5965216	2.99E-08
 IL34 	0.1620745	1.53E-02
 IL4 	-0.0002336	9.83E-01
 IL4R 	0.6059817	3.02E-06
 IL5 	-0.0063936	4.36E-01
 IL5RA 	-0.0076475	3.58E-01
 IL6 	0.0652122	7.71E-02
 IL6R 	-0.0288714	6.03E-01
 IL6ST 	-0.0351358	8.27E-01
 IL7 	0.1814894	7.20E-02
 IL7R 	-0.1957786	4.16E-01
 IL8 	1.0363956	4.99E-04
 IL9 	-0.017921	7.80E-02
 ILDR1 	0.3176458	2.19E-07
 ILDR2 	0.0401978	1.61E-01
 ILF2 	0.8633936	1.07E-08
 ILF3 	0.5967918	8.40E-10
 ILK 	0.4977523	7.14E-06
 ILKAP 	0.2643548	1.69E-06
 ILVBL 	0.0010922	9.92E-01
 IMMP1L 	0.1825423	4.35E-03
 IMMP2L 	0.1186571	1.18E-01
 IMMT 	0.2850714	2.49E-03
 IMP3 	0.3208156	2.54E-02
 IMP4 	0.4237753	1.78E-05
 IMP5 	-0.0419556	2.47E-02
 IMPA1 	0.730543	9.13E-06
 IMPA2 	0.0713008	6.02E-01
 IMPACT 	0.1265417	1.50E-01
 IMPAD1 	0.5936994	1.77E-06
 IMPDH1 	-0.1004775	2.03E-02
 IMPDH2 	0.8279367	1.28E-06
 IMPG1 	-0.0086863	1.58E-01
 IMPG2 	-0.0191508	6.43E-03
 INA 	-0.0365575	2.02E-03
 INADL 	0.2040567	5.59E-03
 INCA1 	-0.0221196	2.82E-01
 INCENP 	0.3617632	4.63E-08
 INE1 	0.0436827	1.19E-01
 INF2 	0.3428276	2.16E-03
 ING1 	0.0595231	4.39E-03
 ING2 	0.1031596	2.57E-01
 ING3 	0.1286429	2.07E-02
 ING4 	0.1014651	1.70E-01
 ING5 	-0.0828782	3.64E-02
 INGX 	0.0096197	7.80E-01
 INHA 	0.0038712	9.48E-01
 INHBA 	0.4802393	7.25E-07
 INHBB 	-0.0530932	1.23E-01
 INHBC 	0.0237263	3.16E-01
 INHBE 	-0.0057801	5.66E-01
 INMT 	0.0668087	1.76E-01
 INO80 	0.2558724	1.10E-08
 INO80B 	0.0409704	3.17E-01
 INO80C 	0.0634398	4.13E-01
 INO80D 	0.2025214	9.63E-04
 INO80E 	0.0815053	6.67E-02
 INPP1 	0.6374063	1.13E-05
 INPP4A 	0.1263703	3.87E-02
 INPP4B 	0.305147	2.43E-04
 INPP5A 	0.039471	5.62E-01
 INPP5B 	0.0568458	3.93E-01
 INPP5D 	0.2736852	7.98E-02
 INPP5E 	0.0549176	1.87E-02
 INPP5F 	0.1459824	3.01E-05
 INPP5J 	-0.1589241	4.71E-02
 INPP5K 	0.0763893	3.29E-01
 INPPL1 	0.0680805	2.75E-01
 INS 	-0.0509249	1.91E-02
 INSIG1 	-0.281848	1.02E-01
 INSIG2 	0.0599473	6.42E-01
 INSL3 	0.0383742	8.09E-02
 INSL4 	0.0850576	2.14E-01
 INSL5 	-0.0322343	7.60E-03
 INSL6 	0.0072517	6.29E-01
 INSM1 	-0.1208738	4.84E-05
 INSM2 	-0.0825742	1.65E-04
 INSR 	0.0672757	4.08E-01
 INSRR 	-0.0855647	7.95E-06
 INTS1 	0.2470001	1.66E-05
 INTS10 	0.4157338	9.42E-04
 INTS12 	0.1176835	9.13E-02
 INTS2 	0.216194	8.51E-05
 INTS3 	0.3273951	1.36E-03
 INTS4 	0.2018739	6.95E-06
 INTS4L1 	0.0067719	6.82E-01
 INTS5 	0.150456	5.21E-03
 INTS6 	0.2574617	2.78E-03
 INTS7 	0.459348	8.61E-08
 INTS8 	0.7321492	3.83E-09
 INTS9 	0.385895	3.54E-06
 INTU 	0.0084399	6.45E-01
 INVS 	0.0572516	1.05E-03
 IP6K1 	0.2687107	3.30E-05
 IP6K2 	0.261541	3.58E-03
 IP6K3 	-0.0203341	5.74E-02
 IPCEF1 	0.0137511	8.03E-01
 IPMK 	0.109937	4.97E-03
 IPO11 	0.2308765	2.35E-05
 IPO13 	0.2051618	4.60E-03
 IPO4 	0.4291377	5.22E-06
 IPO5 	0.6014167	1.40E-04
 IPO7 	0.8980719	2.38E-09
 IPO8 	0.1407228	1.71E-02
 IPO9 	0.6841029	9.09E-09
 IPPK 	0.1743789	8.58E-06
 IQCA1 	0.0137495	6.80E-01
 IQCB1 	0.4258072	1.81E-08
 IQCC 	0.0015375	9.31E-01
 IQCD 	-0.0180506	2.15E-01
 IQCE 	0.248356	1.86E-06
 IQCF1 	-0.0276212	2.65E-01
 IQCF2 	-0.0189127	2.70E-01
 IQCG 	0.114433	7.24E-04
 IQCH 	-0.0077219	2.25E-01
 IQCK 	0.1686134	9.04E-03
 IQGAP1 	0.8294889	1.04E-08
 IQGAP2 	-0.4490904	4.18E-04
 IQGAP3 	0.6333399	9.06E-08
 IQSEC1 	-0.0365456	4.76E-01
 IQSEC3 	-0.1936984	8.80E-06
 IQUB 	-0.0015076	8.54E-01
 IRAK1 	0.6657851	3.23E-07
 IRAK2 	0.3373091	3.83E-04
 IRAK3 	-0.0795678	2.79E-01
 IRAK4 	0.0505194	1.85E-01
 IREB2 	0.3381378	1.94E-04
 IRF1 	0.5794244	1.66E-03
 IRF2 	0.0293872	7.99E-01
 IRF2BP1 	-0.0530745	4.71E-01
 IRF2BP2 	0.4133736	1.22E-05
 IRF3 	0.3077554	8.44E-06
 IRF4 	-0.3034187	1.16E-03
 IRF5 	0.0878226	2.78E-03
 IRF6 	-0.0130898	9.13E-01
 IRF7 	0.0811999	3.15E-01
 IRF8 	0.5958249	1.09E-04
 IRF9 	0.3181256	7.86E-03
 IRGC 	-0.0405318	2.10E-02
 IRS1 	0.1855538	5.92E-02
 IRS2 	0.0554194	6.00E-01
 IRS4 	0.0339505	2.07E-01
 IRX1 	-0.09518	3.25E-05
 IRX2 	-0.2756534	1.07E-06
 IRX3 	-0.6150529	3.39E-10
 IRX4 	-0.0653785	1.93E-02
 IRX5 	-0.1499101	1.64E-04
 IRX6 	-0.0234051	2.12E-01
 ISCA1 	0.304144	1.64E-02
 ISCA2 	0.052754	4.99E-01
 ISCU 	-0.0161277	8.65E-01
 ISG15 	0.5143418	1.89E-03
 ISG20 	-0.1044073	3.18E-01
 ISG20L2 	0.8821784	2.31E-10
 ISL1 	-0.1416842	4.30E-04
 ISL2 	-0.0655662	4.39E-04
 ISLR 	1.2169272	5.55E-07
 ISLR2 	-0.0397984	4.12E-04
 ISM2 	-0.0577986	8.89E-02
 ISOC1 	0.1045476	2.05E-01
 ISOC2 	0.2622895	5.23E-03
 ISY1 	0.35497	5.83E-09
 ISYNA1 	0.373334	1.02E-03
 ITCH 	0.4559108	3.19E-08
 ITFG1 	0.1444346	1.57E-01
 ITFG2 	-0.0672186	1.04E-01
 ITFG3 	0.1525502	2.13E-01
 ITGA1 	0.6888591	1.96E-07
 ITGA10 	-0.0196138	1.27E-02
 ITGA11 	0.2192789	1.49E-04
 ITGA2 	1.183877	9.88E-08
 ITGA2B 	-0.0599438	7.76E-04
 ITGA3 	0.5311841	1.50E-04
 ITGA4 	0.1024744	3.38E-01
 ITGA5 	0.3737748	2.15E-04
 ITGA6 	0.4362366	3.67E-03
 ITGA7 	0.1355106	2.53E-03
 ITGA8 	-0.1038102	4.70E-02
 ITGA9 	0.1104709	1.05E-01
 ITGAE 	-0.0285629	4.67E-01
 ITGAL 	-0.0489567	6.00E-01
 ITGAM 	0.1502508	8.10E-03
 ITGAV 	0.4725518	1.60E-04
 ITGAX 	0.3120593	1.99E-04
 ITGB1 	0.8992737	3.67E-10
 ITGB1BP1 	0.514196	3.00E-08
 ITGB1BP2 	0.0252956	8.08E-03
 ITGB1BP3 	-0.0993461	3.08E-05
 ITGB2 	0.4911169	3.54E-03
 ITGB3 	0.1499174	1.53E-02
 ITGB3BP 	0.7136551	2.11E-07
 ITGB4 	0.5904716	1.58E-03
 ITGB5 	0.8048835	1.27E-12
 ITGB6 	0.3391254	6.83E-02
 ITGB7 	-0.1073531	2.89E-01
 ITGB8 	0.7779777	5.61E-07
 ITGBL1 	0.8548425	3.24E-05
 ITIH1 	-0.0142134	1.44E-01
 ITIH2 	0.0408436	3.51E-01
 ITIH3 	-0.0079092	4.87E-01
 ITIH4 	-0.0466468	1.32E-01
 ITIH5 	-0.2894827	1.62E-02
 ITIH5L 	-0.0092176	2.48E-01
 ITK 	-0.028188	7.53E-01
 ITLN1 	-0.4615614	3.28E-01
 ITLN2 	-0.415911	5.02E-02
 ITM2A 	-0.5702879	3.92E-03
 ITM2B 	0.2214633	6.72E-02
 ITM2C 	-0.0321358	8.69E-01
 ITPA 	0.8064583	1.82E-08
 ITPK1 	0.2838352	3.63E-04
 ITPKA 	-0.1005429	9.61E-02
 ITPKB 	0.0329778	4.66E-01
 ITPKC 	0.194792	1.27E-03
 ITPR1 	-0.0751759	2.39E-01
 ITPR2 	0.1262288	4.01E-01
 ITPR3 	0.4127652	3.66E-03
 ITPRIP 	0.031018	5.59E-01
 ITPRIPL1 	0.024226	3.83E-01
 ITSN1 	0.1092764	9.19E-03
 ITSN2 	0.0991999	2.22E-02
 IVD 	-0.1057956	2.40E-01
 IVL 	-0.0362677	3.72E-02
 IVNS1ABP 	0.2852202	2.46E-02
 IWS1 	0.4498116	2.61E-06
 IYD 	0.2505202	8.79E-03
 IZUMO1 	-0.1079179	9.79E-03
 IZUMO2 	0.0269282	5.57E-01
 IZUMO4 	-0.1149382	4.27E-05
 JAG1 	0.9255912	4.86E-07
 JAG2 	0.1111902	6.01E-03
 JAGN1 	0.2044934	3.51E-02
 JAK1 	0.4854435	2.79E-05
 JAK2 	0.1474773	1.94E-01
 JAK3 	0.0073929	9.15E-01
 JAKMIP1 	-0.0144916	2.44E-01
 JAKMIP2 	-0.0066916	3.19E-01
 JAKMIP3 	-0.0343277	2.90E-03
 JAM2 	-0.0913427	3.60E-01
 JAM3 	0.1956812	2.11E-03
 JARID2 	0.0060854	9.38E-01
 JAZF1 	0.0052071	9.49E-01
 JDP2 	0.0563679	3.21E-01
 JKAMP 	0.2986184	9.59E-03
 JMJD1C 	0.2255519	4.35E-03
 JMJD4 	0.1628528	3.29E-05
 JMJD5 	-0.0160584	4.63E-01
 JMJD6 	0.417013	1.09E-06
 JMJD7-PLA2G4B 	-0.0236776	3.99E-01
 JMJD8 	0.1448021	5.75E-02
 JMY 	-0.0221013	5.19E-01
 JOSD1 	0.5346462	7.39E-07
 JOSD2 	-0.0378646	5.73E-01
 JPH1 	0.4402539	4.25E-05
 JPH2 	-0.0261798	1.03E-01
 JPH3 	-0.0305362	2.10E-02
 JPH4 	-0.2237919	6.54E-07
 JRK 	0.1099665	8.35E-05
 JRKL 	0.390205	4.46E-07
 JSRP1 	-0.2356223	1.14E-04
 JTB 	0.2483332	5.72E-03
 JUB 	0.4779886	7.39E-06
 JUN 	-0.7019984	1.20E-04
 JUNB 	0.518702	5.16E-03
 JUND 	-0.1364561	1.38E-01
 JUP 	1.1225084	2.39E-06
 KAAG1 	-0.0448006	4.30E-02
 KAL1 	0.1663344	1.83E-05
 KALRN 	-0.0230266	7.42E-01
 KANK1 	-0.0044731	9.39E-01
 KANK2 	-0.0068949	9.36E-01
 KANK3 	-0.0949779	1.62E-04
 KANK4 	-0.0895731	6.30E-09
 KARS 	0.5851046	3.18E-06
 KAT2A 	0.6372913	4.71E-08
 KAT2B 	-0.3855955	4.51E-05
 KAT5 	0.1183888	5.08E-02
 KATNA1 	0.4520574	1.16E-07
 KATNAL1 	0.0831661	5.91E-03
 KATNAL2 	0.0098077	4.63E-01
 KATNB1 	0.1073541	3.95E-02
 KAZ 	-0.0276129	2.42E-02
 KAZALD1 	-0.1449036	9.02E-03
 KBTBD10 	0.0124103	2.66E-01
 KBTBD11 	0.0365027	3.90E-01
 KBTBD12 	-0.0575334	1.20E-01
 KBTBD2 	0.5084796	2.10E-06
 KBTBD3 	0.0163536	4.35E-01
 KBTBD4 	0.2096442	2.43E-04
 KBTBD5 	-0.02355	9.07E-02
 KBTBD6 	0.1740386	3.04E-03
 KBTBD7 	0.0475958	4.83E-01
 KBTBD8 	0.0120902	3.74E-01
 KCMF1 	0.6293433	1.01E-06
 KCNA1 	-0.0010621	9.64E-01
 KCNA10 	0.0107344	6.07E-01
 KCNA2 	-0.0202786	1.08E-01
 KCNA3 	-0.2900432	9.38E-03
 KCNA4 	-0.0303431	2.56E-02
 KCNA5 	0.0099955	6.72E-01
 KCNA6 	-0.0213162	2.84E-01
 KCNA7 	-0.0535111	8.21E-03
 KCNAB1 	-0.0107001	3.54E-01
 KCNAB2 	0.3176913	1.52E-05
 KCNAB3 	-0.0150781	1.03E-01
 KCNB1 	-0.0359623	9.80E-03
 KCNB2 	-0.0393197	1.42E-04
 KCNC1 	-0.0011648	9.58E-01
 KCNC2 	-0.0185662	3.28E-02
 KCNC3 	-0.127409	1.54E-05
 KCNC4 	0.0499741	2.13E-01
 KCND1 	0.0150714	2.13E-01
 KCND2 	0.0129104	1.97E-01
 KCND3 	-0.0239478	6.77E-01
 KCNE1 	-0.0655067	4.45E-04
 KCNE1L 	-0.0584085	1.80E-02
 KCNE2 	-3.7895166	1.82E-12
 KCNE3 	1.0893722	7.52E-05
 KCNE4 	-0.0912762	1.91E-01
 KCNF1 	-0.1679206	1.01E-06
 KCNG1 	-0.0628455	5.31E-03
 KCNG2 	-0.0393396	2.98E-01
 KCNG3 	0.014601	3.58E-01
 KCNG4 	-0.06859	1.24E-03
 KCNH1 	-0.0401627	9.88E-06
 KCNH2 	-0.0569107	5.88E-02
 KCNH3 	-0.1006017	3.60E-04
 KCNH4 	-0.0190873	8.81E-02
 KCNH5 	-0.0076957	1.90E-01
 KCNH6 	-0.0571042	7.60E-04
 KCNH7 	-0.0208006	1.33E-03
 KCNH8 	0.193901	4.03E-03
 KCNIP1 	0.0087997	5.88E-01
 KCNIP2 	-0.0146416	1.88E-01
 KCNIP3 	-0.0290609	7.05E-02
 KCNIP4 	-0.0031646	6.92E-01
 KCNJ1 	-0.0123816	9.59E-02
 KCNJ10 	-0.0362884	1.82E-02
 KCNJ11 	-0.1369268	1.07E-03
 KCNJ12 	-0.1706594	4.15E-05
 KCNJ13 	-0.1296246	4.73E-02
 KCNJ14 	-0.0344536	4.28E-02
 KCNJ15 	-1.1219935	2.02E-07
 KCNJ16 	-0.9155946	1.20E-07
 KCNJ2 	0.0772388	4.70E-02
 KCNJ3 	0.2686248	2.95E-02
 KCNJ4 	-0.0707286	1.01E-02
 KCNJ5 	0.0055894	8.21E-01
 KCNJ6 	-0.0119236	1.22E-01
 KCNJ8 	0.2452748	2.40E-04
 KCNJ9 	-0.0662114	3.89E-04
 KCNK1 	0.4761652	1.85E-02
 KCNK10 	-0.0031288	9.31E-01
 KCNK12 	-0.0944015	1.63E-02
 KCNK13 	-0.0822377	8.51E-04
 KCNK15 	-0.0907077	1.00E-01
 KCNK16 	-0.0582036	7.22E-05
 KCNK17 	-0.0698637	1.38E-02
 KCNK18 	-0.0601481	8.23E-03
 KCNK2 	-0.3275342	2.44E-03
 KCNK3 	-0.0873817	6.33E-05
 KCNK4 	-0.0450849	3.56E-03
 KCNK5 	0.2363534	1.22E-01
 KCNK6 	0.0491444	6.22E-01
 KCNK7 	-0.0920634	8.61E-03
 KCNK9 	-0.0449077	9.59E-02
 KCNMA1 	0.156301	1.39E-02
 KCNMB1 	-0.049128	3.15E-01
 KCNMB2 	-0.0485748	9.37E-06
 KCNMB4 	0.1583957	3.95E-02
 KCNN1 	-0.04089	2.73E-04
 KCNN2 	-0.01082	2.53E-01
 KCNN3 	-0.0786057	4.73E-03
 KCNN4 	0.3747107	8.47E-03
 KCNQ1 	-0.9365499	1.83E-05
 KCNQ1DN 	-0.0269874	1.70E-01
 KCNQ2 	-0.045224	1.03E-02
 KCNQ3 	-0.0130987	5.24E-01
 KCNQ4 	-0.0483459	2.69E-02
 KCNQ5 	-0.0242699	1.20E-02
 KCNRG 	0.0998952	4.33E-02
 KCNS1 	0.0168995	3.24E-01
 KCNS2 	-0.079796	4.38E-03
 KCNS3 	0.178369	9.27E-02
 KCNT2 	0.0157706	3.34E-01
 KCNU1 	-0.0070906	4.29E-01
 KCNV1 	-0.0148793	3.08E-01
 KCNV2 	-0.0376565	1.83E-02
 KCP 	-0.1240622	6.48E-05
 KCTD1 	0.1118147	9.41E-02
 KCTD10 	0.4345476	5.37E-10
 KCTD11 	0.089298	1.15E-01
 KCTD12 	0.1544826	1.48E-01
 KCTD13 	0.1634191	1.29E-04
 KCTD14 	-0.2027472	3.40E-01
 KCTD15 	-0.0016218	9.75E-01
 KCTD17 	0.1362827	2.14E-04
 KCTD18 	0.0430266	1.98E-01
 KCTD2 	0.1758119	2.04E-04
 KCTD20 	0.527842	1.22E-12
 KCTD21 	0.0386568	1.80E-02
 KCTD3 	0.2096953	6.66E-02
 KCTD4 	0.0084794	2.53E-01
 KCTD5 	0.5015808	4.13E-06
 KCTD6 	0.2257456	2.20E-06
 KCTD7 	0.077579	3.33E-02
 KCTD8 	-0.1510705	1.03E-05
 KCTD9 	0.2436318	1.10E-04
 KDELC1 	0.2192558	6.27E-06
 KDELC2 	0.3559884	7.06E-05
 KDELR1 	0.3262357	1.44E-02
 KDELR2 	0.6738646	8.30E-05
 KDELR3 	0.5139099	6.52E-03
 KDM1A 	0.656334	9.24E-07
 KDM2A 	0.4378544	1.88E-07
 KDM2B 	0.0858516	3.06E-03
 KDM3A 	0.3049581	4.44E-06
 KDM3B 	0.3236465	4.94E-06
 KDM4A 	0.2753038	1.85E-03
 KDM4B 	-0.0451068	4.61E-02
 KDM4C 	-0.0781726	2.00E-01
 KDM4D 	0.0038871	6.72E-01
 KDM5A 	0.2459886	3.48E-04
 KDM5B 	0.468177	2.34E-04
 KDM5C 	0.3754681	4.59E-05
 KDM6A 	0.0852549	3.78E-01
 KDM6B 	-0.076614	5.38E-01
 KDR 	0.1490082	4.17E-02
 KDSR 	0.2179772	2.33E-04
 KEAP1 	0.4969532	1.87E-07
 KEL 	-0.0202811	7.24E-02
 KERA 	-0.0033147	7.03E-01
 KHDC1 	-0.0228162	1.20E-01
 KHDRBS1 	0.5366389	6.26E-08
 KHDRBS2 	-0.008461	3.19E-01
 KHDRBS3 	0.2690639	7.07E-03
 KHK 	0.0718406	7.17E-01
 KHNYN 	0.0646376	2.40E-01
 KHSRP 	0.3123703	4.69E-07
 KIAA0020 	0.4394131	8.25E-06
 KIAA0040 	0.1871584	1.85E-02
 KIAA0087 	-0.0366236	1.05E-01
 KIAA0090 	0.468405	4.06E-08
 KIAA0100 	0.4909731	3.56E-06
 KIAA0101 	1.3098285	4.16E-06
 KIAA0125 	-0.2574339	3.02E-04
 KIAA0141 	0.0287021	5.57E-01
 KIAA0174 	0.3981038	6.40E-03
 KIAA0182 	-0.1757739	3.91E-03
 KIAA0195 	0.0069499	9.48E-01
 KIAA0196 	0.8693303	1.25E-05
 KIAA0226 	0.0840045	8.90E-02
 KIAA0232 	0.1126978	1.40E-01
 KIAA0247 	0.046074	6.08E-01
 KIAA0284 	0.4076428	1.12E-03
 KIAA0317 	0.1663899	6.68E-03
 KIAA0319 	0.0019865	8.06E-01
 KIAA0319L 	-0.1714626	5.87E-02
 KIAA0355 	0.0960144	9.82E-03
 KIAA0368 	0.1573265	1.10E-01
 KIAA0391 	0.2131256	4.46E-03
 KIAA0415 	0.2393342	1.90E-06
 KIAA0427 	-0.3218372	2.57E-05
 KIAA0430 	-0.0788803	4.14E-01
 KIAA0467 	0.0622649	3.78E-01
 KIAA0495 	-0.0513046	4.73E-01
 KIAA0513 	-0.1986618	3.72E-03
 KIAA0528 	0.181308	1.07E-02
 KIAA0562 	0.3279369	2.76E-04
 KIAA0586 	0.1468143	9.04E-05
 KIAA0649 	-0.0115941	7.39E-01
 KIAA0664 	0.3200494	2.12E-04
 KIAA0664L3 	0.1584116	8.28E-04
 KIAA0748 	0.0020653	9.56E-01
 KIAA0753 	0.20918	1.01E-04
 KIAA0776 	-0.1201967	1.84E-01
 KIAA0802 	0.1094054	1.35E-02
 KIAA0907 	0.3935872	6.30E-06
 KIAA0913 	-0.0007801	9.93E-01
 KIAA0922 	-0.0402196	6.33E-01
 KIAA1009 	0.073553	3.49E-03
 KIAA1033 	0.3093922	3.50E-05
 KIAA1109 	0.0332845	7.43E-01
 KIAA1147 	-0.0287876	8.56E-01
 KIAA1161 	-0.2062412	4.26E-02
 KIAA1191 	-0.3333376	7.93E-02
 KIAA1199 	0.4281756	1.56E-04
 KIAA1217 	0.2714288	7.10E-05
 KIAA1244 	-0.2043418	7.10E-02
 KIAA1257 	0.054188	5.74E-02
 KIAA1267 	0.0919564	4.63E-02
 KIAA1274 	-0.4983732	1.30E-06
 KIAA1279 	0.2667274	1.67E-02
 KIAA1310 	0.1783478	6.12E-04
 KIAA1324 	-2.0247543	9.19E-10
 KIAA1324L 	0.2988386	2.10E-02
 KIAA1328 	0.013798	5.97E-01
 KIAA1383 	0.0282524	3.28E-01
 KIAA1407 	0.0471727	1.36E-02
 KIAA1409 	-0.0202372	4.08E-04
 KIAA1429 	0.346601	6.80E-05
 KIAA1430 	0.253322	4.80E-04
 KIAA1432 	0.0532797	3.06E-01
 KIAA1468 	0.1290108	3.48E-02
 KIAA1522 	0.0527287	6.42E-01
 KIAA1524 	0.3328443	2.02E-08
 KIAA1530 	-0.0683264	1.32E-02
 KIAA1539 	0.0664061	2.55E-01
 KIAA1549 	-0.0177973	7.43E-01
 KIAA1586 	0.0673392	1.56E-02
 KIAA1598 	0.145103	3.08E-02
 KIAA1609 	0.1155752	1.90E-04
 KIAA1632 	0.0511108	1.01E-01
 KIAA1683 	-0.0821379	3.06E-04
 KIAA1704 	0.1924045	1.21E-02
 KIAA1712 	0.0311581	1.87E-01
 KIAA1715 	0.3214109	1.93E-05
 KIAA1737 	0.0704291	8.86E-02
 KIAA1797 	0.0728247	2.19E-01
 KIAA1804 	-0.1467203	2.70E-02
 KIAA1826 	0.3211587	3.71E-04
 KIAA1841 	0.1713126	4.81E-05
 KIAA1919 	0.322969	9.53E-05
 KIAA1949 	0.2709481	5.50E-06
 KIAA1967 	0.4497263	1.05E-06
 KIF11 	0.4148514	3.28E-06
 KIF12 	0.3655143	5.45E-04
 KIF13A 	0.3303831	6.96E-04
 KIF13B 	-0.0925679	2.88E-01
 KIF14 	0.2048731	3.44E-07
 KIF15 	0.2637587	9.30E-06
 KIF16B 	0.3350989	1.16E-04
 KIF17 	-0.0706089	8.78E-06
 KIF18A 	0.4177058	1.42E-06
 KIF19 	-0.0417384	9.94E-04
 KIF1A 	-0.1037149	2.93E-08
 KIF1B 	0.268266	3.45E-05
 KIF1C 	-0.0544808	4.61E-01
